deg,seed,n,b_end,rootA,ratio,strict,loose
2,4,2639,3.164284267977664,4.972875658231091,0.6363087447682607,0,0
2,4,3676,3.5373684959856853,4.972875658231091,0.711332584825571,0,0
2,4,2941,2.263435810308814,4.972875658231091,0.45515632520639865,0,0
2,5,1039,4.313086544558243,1.640500327944441,2.6291287304785684,0,0
2,5,701,0.9869712309586275,1.640500327944441,0.6016281826626086,0,0
2,5,1043,3.978103734462678,1.640500327944441,2.4249332150071994,0,0
2,5,703,0.5814026019513614,1.640500327944441,0.35440566030234394,0,0
3,1,2855,0.03194103165724395,1.5124253183907626,0.021119080240755005,0,0
3,1,6995,0.27870911243082236,1.5124253183907626,0.18427958659629684,0,0
3,1,3774,2.6648615847174217,1.5124253183907626,1.7619789567876742,0,0
3,1,3248,0.9155196894631253,1.5124253183907626,0.6053321630698755,0,0
3,2,757,10.603890666707526,3.38408871949333,3.1334552801840116,0,0
3,2,628,10.28820198961177,3.38408871949333,3.040169109736618,0,0
3,2,779,4.76075095087894,3.38408871949333,1.4068044148652596,0,0
3,2,630,4.118278636685425,3.38408871949333,1.2169535074429192,1,1
3,3,886,8.340598826145458,1.2216551378226028,6.827294027520065,0,0
3,3,2074,12.031307472785116,1.2216551378226028,9.848366449985976,0,0
3,3,1734,0.3746341549918175,1.2216551378226028,0.3066611381502808,0,0
3,3,1013,0.5297290349605664,1.2216551378226028,0.4336158532470304,0,0
3,3,912,0.5619990528490054,1.2216551378226028,0.4600308511374784,0,0
3,3,2690,9.38943113970529,1.2216551378226028,7.685827897748942,0,0
3,4,3964,6.89224772041481,3.974812668292729,1.7339805157094823,0,0
3,4,1585,5.12924347565913,3.974812668292729,1.290436532160459,0,0
3,4,2590,2.327598468192872,3.974812668292729,0.5855869603013587,0,0
3,4,1820,1.8917620275366989,3.974812668292729,0.4759374052083951,0,0
3,5,948,16.09449804568698,2.182465554799811,7.374456843220723,0,0
3,5,825,15.990504984301857,2.182465554799811,7.326807494915356,0,0
3,5,1243,2.424718631578619,2.182465554799811,1.1109997251713917,0,0
3,5,958,0.48747918529632084,2.182465554799811,0.2233616856972734,0,0
4,1,1005,0.6068376525259094,5.166891288693562,0.11744734282562137,0,0
4,1,1305,2.2404462156631046,5.166891288693562,0.4336158998672482,0,0
4,1,936,5.531376873182887,5.166891288693562,1.0705425301451397,0,0
4,1,1124,5.902832360909421,5.166891288693562,1.1424340151739365,0,0
4,2,929,0.82894050606556,2.0103697908203304,0.41233235290872094,0,0
4,2,980,1.0149648030258591,2.0103697908203304,0.504864730688031,0,0
4,2,957,1.61736085799467,2.0103697908203304,0.8045091332847311,0,0
4,2,1060,2.0432327582834118,2.0103697908203304,1.0163467276583338,0,0
4,3,2185,12.944185645271327,1.7900352422661325,7.231246256852667,0,0
4,3,4072,16.96909128628002,1.7900352422661325,9.479752624757065,0,0
4,3,1971,0.4491618381895008,1.7900352422661325,0.25092346093749246,0,0
4,3,6754,14.814242387062459,1.7900352422661325,8.275950125042264,0,0
4,3,1955,0.44916254291909047,1.7900352422661325,0.2509238546334226,0,0
4,3,4518,10.009519091628505,1.7900352422661325,5.591800013365516,0,0
4,4,614,12.799216275132272,1.445446711040614,8.854851705960014,0,0
4,4,644,12.8521992174227,1.445446711040614,8.891506770367256,0,0
4,4,618,0.42060649524290955,1.445446711040614,0.29098720280051293,0,0
4,4,637,0.43071937155701673,1.445446711040614,0.29798357024655087,0,0
4,4,613,14.996323745478229,1.445446711040614,10.374871401991701,0,0
4,4,643,15.041591627289801,1.445446711040614,10.406188974245184,0,0
4,5,1104,3.3838967716415964,1.297796645392988,2.6074167965019766,0,0
4,5,880,2.3998102834306274,1.297796645392988,1.8491419992104672,0,0
4,5,916,0.3777696512646899,1.297796645392988,0.2910853966264467,0,0
4,5,894,1.569707093648343,1.297796645392988,1.2095169911407944,0,0
4,5,894,0.39466380374403226,1.297796645392988,0.30410296185079405,0,0
4,5,919,2.0147581753299524,1.297796645392988,1.5524452020138026,0,1
4,5,920,5.231316540789611,1.297796645392988,4.030921608065574,1,1
4,5,732,4.640347207654034,1.297796645392988,3.5755580229974187,0,0
5,1,3172,7.73125960059733,4.7421055055532175,1.6303432286657644,0,0
5,1,3128,7.730473041293674,4.7421055055532175,1.6301773615624842,0,0
5,1,8347,4.004794071404653,4.7421055055532175,0.8445181294922394,0,0
